,id,name
0,100000250,데이비드 베컴
1,100001075,A. 델피에로
2,100001114,로베르토 바조
3,100001256,클라렌스 세이도르프
4,100001625,티에리 앙리
5,100001668,클로드 마켈렐레
6,100003647,미하엘 발락
7,100004231,히바우두
8,100005099,잔루카 잠브로타
9,100005471,프랭크 램파드
10,100005984,다비드 트레제게
11,100007289,리오 퍼디난드
12,100013743,스티븐 제라드
13,100045674,마이클 에시앙
14,100048940,페트르 체흐
15,100054050,웨인 루니
16,100121939,필립 람
17,100140601,네마냐 비디치
18,100166149,우고 산체스
19,100167135,카를루스 아우베르투
20,100167680,로날트 쿠만
21,100190045,요한 크루이프
22,100190046,소크라테스
23,100242519,에우제비우
24,100247553,가린샤
25,100247703,이언 러시
26,100248146,이언 라이트
27,100254642,페렌츠 푸스카스
28,101000001,데이비드 시먼
29,101000051,앨런 시어러
30,101000195,로비 파울러
31,101000240,로이 킨
32,101000241,라이언 긱스
33,101000244,게리 네빌
34,101000246,폴 스콜스
35,101000250,데이비드 베컴
36,101000388,솔 캠벨
37,101000393,테디 셰링엄
38,101000570,제이-제이 오코차
39,101000805,옌스 레만
40,101000942,크리스티안 비에리
41,101001025,후이 코스타
42,101001040,호베르투 카를루스
43,101001041,하비에르 사네티
44,101001075,A. 델피에로
45,101001088,알레산드로 네스타
46,101001109,파올로 말디니
47,101001114,로베르토 바조
48,101001116,마르셀 드사이
49,101001183,파비오 칸나바로
50,101001198,필리포 인자기
51,101001201,잔프랑코 졸라
52,101001256,클라렌스 세이도르프
53,101001397,지네딘 지단
54,101001419,파트리크 비에이라
55,101001605,로베르 피레스
56,101001620,에마뉘엘 프티
57,101001625,티에리 앙리
58,101001668,클로드 마켈렐레
59,101001845,올레 군나르 솔샤르
60,101003647,미하엘 발락
61,101004000,데니스 베르캄프
62,101004202,젠나로 가투소
63,101004231,히바우두
64,101004833,H. 스토이치코프
65,101005003,카푸
66,101005099,잔루카 잠브로타
67,101005419,마이클 오언
68,101005467,제이미 캐러거
69,101005471,프랭크 램파드
70,101005479,카시야스
71,101005589,루이스 피구
72,101005673,야리 리트마넨
73,101005680,P. 클라위베르트
74,101005681,M. 오베르마르스
75,101005984,다비드 트레제게
76,101006235,파벨 네드베드
77,101006975,프레디 융베리
78,101007289,리오 퍼디난드
79,101007512,에르난 크레스포
80,101007518,베론
81,101007763,안드레아 피를로
82,101007826,로빈 반페르시
83,101009676,사뮈엘 에토
84,101010264,뤼트 반니스텔로이
85,101010535,차비
86,101011141,미로슬라프 클로제
87,101013038,카를레스 푸욜
88,101013128,안드리 셰우첸코
89,101013383,나카타 히데토시
90,101013743,스티븐 제라드
91,101020170,비토르 바이아
92,101020289,야야 투레
